Date,Close,High,Low,Open,Volume,ema20
2025-04-01 12:30:00-04:00,560.39,561.06,560.08,560.76,573686.0,560.8168173753132
2025-04-01 12:35:00-04:00,559.74,560.49,559.54,560.35,489068.0,560.7142633395691
2025-04-01 12:40:00-04:00,559.47,560.09,559.33,559.75,483875.0,560.595762069134
2025-04-01 12:45:00-04:00,560.19,560.24,559.38,559.5,397896.0,560.5571180625499
2025-04-01 12:50:00-04:00,561.0,561.38,560.05,560.2,353496.0,560.599297294688
2025-04-01 12:55:00-04:00,560.69,561.27,560.68,560.99,231344.0,560.6079356475749
2025-04-01 13:00:00-04:00,560.83,561.12,560.54,560.67,156718.0,560.6290846335202
2025-04-01 13:05:00-04:00,560.3,560.84,559.97,560.84,318097.0,560.5977432398515
2025-04-01 13:10:00-04:00,560.75,560.77,560.01,560.28,197785.0,560.6122438836752
2025-04-01 13:15:00-04:00,559.77,560.86,559.72,560.74,178781.0,560.532030180468
2025-04-01 13:20:00-04:00,559.66,560.07,559.55,559.81,193899.0,560.4489796870902
2025-04-01 13:25:00-04:00,559.42,559.96,559.18,559.65,243360.0,560.350981621653
2025-04-01 13:30:00-04:00,559.15,559.92,559.1,559.33,287085.0,560.2366024195908
2025-04-01 13:35:00-04:00,559.74,559.85,559.1,559.13,246642.0,560.1893069510584
2025-04-01 13:40:00-04:00,559.35,560.36,559.27,559.76,314192.0,560.1093729557194
2025-04-01 13:45:00-04:00,559.93,559.99,559.29,559.3,121289.0,560.0922898170795
2025-04-01 13:50:00-04:00,559.52,560.28,559.52,559.96,240773.0,560.0377860249768
2025-04-01 13:55:00-04:00,559.0,559.57,558.91,559.56,284512.0,559.9389492606932
2025-04-01 14:00:00-04:00,557.88,559.17,557.52,559.0,718956.0,559.7428588549129
2025-04-01 14:05:00-04:00,557.38,558.1,557.28,557.88,366393.0,559.5178246782546
2025-04-01 14:10:00-04:00,557.71,557.86,557.08,557.4,448162.0,559.3456508993731
2025-04-01 14:15:00-04:00,557.08,557.79,556.88,557.73,270283.0,559.1298746232424
2025-04-01 14:20:00-04:00,556.43,557.22,556.42,557.07,382515.0,558.8727437067431
2025-04-01 14:25:00-04:00,556.69,557.19,556.44,556.44,420746.0,558.66486335372
2025-04-01 14:30:00-04:00,556.84,557.28,556.55,556.68,317218.0,558.4910668438418
2025-04-01 14:35:00-04:00,556.54,557.15,556.43,556.84,253290.0,558.3052509539522
2025-04-01 14:40:00-04:00,557.2,557.2,556.54,556.54,239481.0,558.1999889583377
2025-04-01 14:45:00-04:00,556.47,557.24,556.45,557.17,258842.0,558.0352281051627
2025-04-01 14:50:00-04:00,556.84,556.91,556.15,556.44,291161.0,557.921396857052
2025-04-01 14:55:00-04:00,557.66,557.78,556.83,556.87,393460.0,557.8965019182851
2025-04-01 15:00:00-04:00,557.98,558.09,557.43,557.66,390330.0,557.9044541165437
2025-04-01 15:05:00-04:00,557.69,558.43,557.66,557.97,333342.0,557.8840299149681
2025-04-01 15:10:00-04:00,558.14,558.16,557.52,557.67,281027.0,557.9084080183045
2025-04-01 15:15:00-04:00,558.23,558.77,557.94,558.14,454925.0,557.939035826085
2025-04-01 15:20:00-04:00,558.82,558.92,558.04,558.23,299890.0,558.0229371759817
2025-04-01 15:25:00-04:00,558.43,559.0,558.42,558.81,344554.0,558.0617050639835
2025-04-01 15:30:00-04:00,559.3,559.72,558.17,558.43,469545.0,558.1796379150327
2025-04-01 15:35:00-04:00,559.67,559.96,559.15,559.32,447531.0,558.32157716122
2025-04-01 15:40:00-04:00,559.94,560.06,559.6,559.69,564389.0,558.4757126696753
2025-04-01 15:45:00-04:00,560.43,560.54,559.8,559.93,707242.0,558.6618352725634
2025-04-01 15:50:00-04:00,561.1,561.25,559.81,560.45,1175058.0,558.8940414370811
2025-04-01 15:55:00-04:00,561.03,561.52,560.52,561.12,2340397.0,559.097466062121
2025-04-02 09:30:00-04:00,556.94,557.0,554.81,555.05,1211141.0,558.8919931038238
2025-04-02 09:35:00-04:00,558.46,558.67,556.66,556.93,911692.0,558.8508509034596
2025-04-02 09:40:00-04:00,558.82,559.0,558.02,558.49,757168.0,558.8479127221777
2025-04-02 09:45:00-04:00,559.39,559.54,558.67,558.8,490317.0,558.8995400819704
2025-04-02 09:50:00-04:00,558.52,559.78,558.52,559.37,519788.0,558.863393407497
2025-04-02 09:55:00-04:00,558.73,559.49,558.41,558.54,322125.0,558.8506892734497
2025-04-02 10:00:00-04:00,560.45,560.63,558.4,558.71,517265.0,559.0030045807403
2025-04-02 10:05:00-04:00,559.07,560.6,558.81,560.51,415848.0,559.0093850968602
2025-04-02 10:10:00-04:00,559.16,559.63,558.29,559.09,381700.0,559.0237293733497
2025-04-02 10:15:00-04:00,560.13,560.23,558.9,559.09,288003.0,559.1290884806498
2025-04-02 10:20:00-04:00,560.58,560.67,559.68,560.16,287125.0,559.2672705301117
2025-04-02 10:25:00-04:00,560.86,560.92,559.81,560.62,330082.0,559.4189590510534
2025-04-02 10:30:00-04:00,560.95,561.57,560.65,560.85,418029.0,559.5647724747627
2025-04-02 10:35:00-04:00,560.98,561.13,560.34,560.94,302637.0,559.6995560485948
2025-04-02 10:40:00-04:00,560.77,561.41,560.45,560.94,255556.0,559.8015030915858
2025-04-02 10:45:00-04:00,561.31,561.39,560.73,560.83,249314.0,559.9451694638158
2025-04-02 10:50:00-04:00,561.23,561.55,561.15,561.27,232784.0,560.0675342767858
2025-04-02 10:55:00-04:00,562.09,562.27,561.07,561.24,401238.0,560.2601500599491
2025-04-02 11:00:00-04:00,561.95,562.09,561.29,562.07,424792.0,560.4210881494778
2025-04-02 11:05:00-04:00,562.03,562.08,561.61,561.96,161149.0,560.5743178495275
2025-04-02 11:10:00-04:00,561.1,562.16,561.09,562.03,345049.0,560.6243828162392
2025-04-02 11:15:00-04:00,561.88,561.88,560.86,561.12,228947.0,560.7439654051688
2025-04-02 11:20:00-04:00,562.76,562.89,561.79,561.86,311397.0,560.9359686999146
2025-04-02 11:25:00-04:00,563.33,563.75,562.77,562.78,626950.0,561.1639716808751
2025-04-02 11:30:00-04:00,563.6,563.73,563.07,563.3,359984.0,561.3959743779346
2025-04-02 11:35:00-04:00,563.42,563.71,563.09,563.6,327092.0,561.5887387228933
2025-04-02 11:40:00-04:00,562.4,563.55,562.26,563.44,417374.0,561.6660017016653
2025-04-02 11:45:00-04:00,561.7,562.58,561.49,562.36,419231.0,561.6692396348401
2025-04-02 11:50:00-04:00,561.84,561.99,561.1,561.68,335408.0,561.68550252676
